FILE_ID,POSITIVE_SCORE,NEGATIVE_SCORE,POLARITY_SCORE,SUBJECTIVITY_SCORE,AVERAGE_SENTENCE_LENGTH,PERCENTAGE_OF_COMPLEX_WORDS,FOG_INDEX,AVERAGE_NUMBER_OF_WORDS_PER_SENTENCE,COMPLEX_WORD_COUNT,CLEAN_WORDS_COUNT,SYLLABLE_PER_WORD,COUNT_OF_PERSONAL_PRONOUN,AVERAGE_WORD_LENGTH,URL
125.txt,90,66,0.153846153,0.200256739,29.43548387,0.204248366,11.85589289,29.61290323,375,779,6.319172113,2,5.314270153,125
126.txt,29,42,-0.183098589,0.206997084,26.28125,0.160566706,10.57672668,26.46875,136,343,6.205430933,3,5.20188902,126
127.txt,88,135,-0.210762331,0.31948424,19.92405063,0.193890274,8.047176363,20.30379747,311,698,6.375311721,6,5.373441397,127
128.txt,40,81,-0.338842972,0.315104166,16.04918033,0.167507568,6.486675158,16.24590164,166,384,6.053481332,5,5.048435923,128
129.txt,6,39,-0.733333317,0.142857142,19.33333333,0.19941349,7.813098729,20.66666667,136,315,6.54398827,1,5.478005865,129
130.txt,65,95,-0.187499999,0.212483399,30.43137255,0.186420488,12.24711721,32.92156863,313,753,6.334127457,2,5.331745086,130
131.txt,114,96,0.085714285,0.256410256,23.95833333,0.20045819,9.663516609,24.25,350,819,6.418671249,0,5.403207331,131
132.txt,56,80,-0.176470587,0.230118443,19.90625,0.185430464,8.036672185,21.234375,252,591,6.450331126,6,5.424576895,132
133.txt,66,61,0.039370078,0.253999999,22.23809524,0.28,9.007238095,23.80952381,280,500,6.969,0,5.962,133
134.txt,22,26,-0.083333332,0.255319148,30.66666667,0.220430108,12.35483871,31,82,188,6.887096774,4,5.879032258,134
135.txt,5,18,-0.565217367,0.194915253,20.8125,0.095238095,8.363095238,21,32,118,5.764880952,7,4.74702381,135
136.txt,13,25,-0.315789465,0.240506328,26.4,0.158024691,10.62320988,27,64,158,5.940740741,5,4.925925926,136
137.txt,7,10,-0.176470578,0.165048542,22.2,0.168776371,8.947510549,23.7,40,103,6.042194093,3,5.012658228,137
138.txt,10,14,-0.16666666,0.258064513,15.5625,0.212355212,6.309942085,16.1875,55,93,6.162162162,7,5.146718147,138
139.txt,47,41,0.068181817,0.283870967,12.84782609,0.244732577,5.237023466,13.41304348,151,310,6.752025932,2,5.703403566,139
140.txt,0,0,0,0,4,0.25,1.7,4,1,2,6.75,0,5.75,140
141.txt,35,62,-0.278350513,0.251295336,23.9,0.145748988,9.618299595,24.7,144,386,6.017206478,4,4.996963563,141
142.txt,0,0,0,0,7,0.142857143,2.857142857,7,1,3,5.857142857,0,4.857142857,142
143.txt,23,42,-0.292307688,0.243445692,18.6969697,0.181818182,7.551515152,19,114,267,6.177033493,1,5.164274322,143
145.txt,30,41,-0.154929575,0.187335092,24.5,0.167898627,9.867159451,26.30555556,159,379,6.256599789,2,5.249208025,145
146.txt,34,57,-0.25274725,0.218225419,16.35185185,0.19650655,6.619343361,16.96296296,180,417,6.503275109,9,5.497816594,146
147.txt,69,53,0.13114754,0.17453505,18.54216867,0.183804627,7.490389321,18.74698795,286,699,6.314910026,2,5.303984576,147
148.txt,57,99,-0.269230768,0.285714285,15.65753425,0.204995693,6.345011976,15.90410959,238,546,6.239448751,2,5.223944875,148
149.txt,47,41,0.068181817,0.24109589,22.03225806,0.270083102,8.920936467,23.29032258,195,365,6.836565097,0,5.818559557,149
150.txt,48,76,-0.22580645,0.274336283,15.93846154,0.188804554,6.450906437,16.21538462,199,452,6.15370019,8,5.143263757,150
